1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100	*	*	*	*	*	*	*	*	*	*	2	2	2	2	2	2	2	2	2	2
101	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
102	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
103	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4
104	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
107	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
109	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1
11	*	*	*	*	*	*	3	3	3	3	3	3	3	3	3	3	3	3	3	3
110	*	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3
113	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
114	2	2	2	2	2	2	2	2	%	%	%	%	%	%	%	%	%	%	%	%
115	1	1	1	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
120	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
121	*	*	*	*	*	*	*	*	*	*	1	1	1	2	2	2	2	2	2	2
122	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1
124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	1	1
131	*	*	*	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
133	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
135	*	*	*	*	*	*	*	*	2	2	1	1	1	1	1	1	1	1	2	2
137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
